AGS;LeistungPVByArea
06636;85.69
01060;96.09
05370;301.00
01051;251.69
06432;188.45
07135;160.75
09575;296.59
06635;102.45
01054;194.75
05774;386.92
08326;205.85
05970;88.15
01057;75.10
13075;157.64
03159;109.97
09679;326.71
05566;286.58
08317;216.66
05554;459.64
07143;195.83
03151;73.83
07232;242.80
01055;114.40
15083;137.74
03452;107.00
03402;167.71
03453;243.20
09375;294.47
04011;187.38
05334;211.89
06532;135.13
12064;397.37
12072;115.36
07134;71.76
08127;289.18
08128;189.41
05515;299.26
03254;106.76
03256;119.65
12067;125.35
15081;139.24
14522;161.32
03358;51.71
07339;221.37
15084;182.37
07140;135.94
03251;145.06
03455;136.18
10043;363.44
09780;126.38
03461;211.08
01059;249.48
07331;210.00
03451;148.64
09373;325.62
07141;88.83
09479;138.89
07319;302.37
03355;56.40
09675;410.12
05362;225.23
12068;130.45
09176;246.82
05974;224.89
03360;60.13
01058;157.08
05154;299.83
06534;146.70
03157;127.47
03359;96.53
12065;149.54
06633;182.22
03357;71.24
03454;235.10
13072;161.81
03356;112.66
09177;204.46
16063;120.07
12073;141.08
09574;119.76
16068;130.75
03353;72.09
03155;92.88
05770;245.01
13073;145.72
05966;84.90
07231;180.34
08336;160.43
15089;222.19
06434;174.57
01061;195.01
06632;116.87
12062;229.62
09174;387.73
05162;327.83
07133;159.01
06437;108.86
06535;126.04
07333;116.24
06435;149.67
09677;185.02
09186;274.62
05766;179.13
16061;141.18
01053;92.49
08417;200.77
05954;199.77
08212;329.63
16065;150.83
09374;231.27
03457;98.71
12069;103.88
12060;351.26
05166;326.31
13076;183.13
03352;80.25
05558;267.83
15085;149.82
09561;533.35
07233;99.39
07340;103.03
12063;166.36
03241;127.57
08126;264.67
03252;92.11
14628;68.32
06533;175.64
09572;225.96
09672;221.71
05116;448.53
05366;169.59
05562;253.24
07235;198.92
03405;288.59
15082;360.39
07337;162.02
05570;213.06
07334;203.83
07315;412.57
06431;246.65
03361;110.49
09476;132.74
09475;286.36
09371;260.68
06631;178.71
03459;198.24
09376;251.32
12070;151.41
03456;228.84
14730;201.33
13071;146.84
05358;216.88
16073;71.96
03460;330.67
08136;223.62
16077;274.45
07336;104.29
15090;130.15
04012;140.41
16074;221.39
05762;202.75
08135;293.07
08119;219.29
16076;180.53
10046;302.28
13074;109.61
12061;144.54
07131;86.91
10044;275.95
14625;175.84
09377;157.89
05170;256.02
09577;355.48
03401;278.45
08325;209.60
09178;349.12
05114;331.62
05978;306.84
08327;211.34
09571;356.87
14521;90.38
09477;261.05
12066;552.62
03462;77.97
09777;240.97
01003;161.50
15088;257.64
09274;361.12
12071;296.37
15087;347.56
03153;81.40
01056;103.08
05112;230.43
05962;110.76
09472;161.38
05915;260.94
03404;359.07
06439;84.78
03351;62.27
16067;138.96
01001;387.79
10041;377.18
09674;384.97
14729;245.82
05754;293.16
15086;138.85
15091;135.91
09277;368.96
09565;392.43
03154;77.52
09279;497.72
03255;71.83
14524;200.62
03257;193.83
08125;282.92
14627;218.33
09778;339.29
03458;181.60
02000;111.61
05374;120.95
07137;173.51
05711;313.16
08237;143.84
08335;289.20
16062;150.46
05958;122.15
05158;279.50
07335;196.21
05512;405.18
05513;330.47
06440;129.29
16075;113.19
12052;743.55
16071;179.00
14523;92.66
05913;296.02
08117;249.41
08425;289.13
01062;119.36
06634;159.21
09771;392.87
08316;233.30
08315;156.73
10042;240.33
15001;303.20
07332;156.67
09372;175.35
03102;112.18
11000;420.57
08421;589.61
14626;133.48
09573;437.99
09276;184.41
05758;283.85
16064;164.93
05124;249.47
09190;198.25
08116;306.55
14612;198.70
14713;378.18
08215;304.17
08225;189.39
05914;222.50
09678;257.29
09576;246.63
09773;304.31
09273;455.32
05382;199.26
09676;157.38
08235;151.08
09189;181.64
09187;204.97
13003;239.62
09473;342.97
08311;417.90
03158;117.43
09272;164.37
16070;96.01
09162;367.73
03354;45.15
15003;331.03
15002;643.24
07338;269.13
05315;270.62
09471;186.40
08415;221.50
06531;160.80
09673;138.22
03403;491.28
08426;285.42
09261;1382.89
12054;188.42
09474;254.21
08436;280.94
10045;240.65
05120;211.39
05122;418.53
08337;144.77
09564;415.29
09175;235.38
09478;340.91
09275;394.83
09362;603.13
09181;300.71
07111;237.79
16052;293.87
07132;114.33
09179;370.82
12053;422.36
16069;126.86
09779;285.40
14511;365.46
08437;225.76
16051;275.09
13004;401.63
03101;245.64
09185;428.62
03103;130.05
09163;551.04
08118;363.10
08236;264.30
09774;394.91
07317;376.27
06611;385.93
09772;406.52
16072;125.13
08226;317.53
09278;413.56
09182;72.69
08231;332.36
07316;243.09
09271;499.02
16066;94.25
08416;249.03
09663;404.97
09671;156.83
09188;176.46
07138;151.50
09184;232.88
09183;307.61
09762;883.67
09173;80.10
05378;180.17
01002;194.55
09171;474.77
09775;442.40
08111;331.04
08222;455.92
08216;227.88
05111;216.78
09563;562.29
09662;798.98
09161;482.11
05113;251.28
08115;299.93
07318;486.18
09172;90.83
05314;233.12
07313;417.95
05316;291.92
09361;986.37
16055;230.09
05911;349.76
06436;264.34
05119;301.37
06438;302.84
06433;253.94
09763;669.05
07311;460.88
08211;219.87
08221;293.66
07211;402.71
08435;270.16
08121;426.13
09263;997.76
09776;224.49
07314;375.06
09180;45.59
09363;582.01
09761;445.52
06413;310.12
09262;512.29
09461;393.53
06414;158.22
16053;137.02
09562;493.92
09462;407.83
01004;320.67
05117;234.78
07312;534.22
05916;303.54
09661;658.67
09764;550.96
07320;271.25
16054;78.79
09464;496.23
06411;183.49
06412;228.65
09463;737.14
12051;466.07
