AGS;WindAnzahl
06636;40
01060;107
05370;154
01051;1019
06432;15
07135;88
09575;67
06635;156
01054;1060
05774;611
08326;16
05970;39
01057;44
13075;431
03152;10
09679;60
05566;320
08317;56
05554;344
07143;103
03151;106
07232;282
01055;379
15083;441
03452;660
03402;89
03453;279
09375;16
04011;73
05334;114
06532;70
12064;303
12072;418
07134;80
08127;117
08128;166
05515;50
03254;80
03256;253
12067;206
15081;227
14522;215
03358;171
07339;61
15084;282
07140;289
03251;445
03455;201
10043;32
09780;23
03461;210
01059;543
07331;184
03451;66
09373;67
07141;15
09479;29
07319;11
03355;114
09675;16
05362;81
12068;369
09176;54
05974;243
03360;155
01058;239
05154;219
06534;100
03157;113
03359;254
12065;93
06633;137
03357;267
03454;593
13072;368
03356;82
09177;13
16063;56
12073;742
09574;11
16068;111
03353;120
03155;63
05770;75
13073;304
05966;30
07231;88
08336;13
15089;403
06434;20
01061;358
06632;85
12062;328
09174;10
05162;111
07133;69
06437;24
06535;287
07333;105
06435;113
09677;45
09186;14
05766;120
16061;42
01053;73
08417;6
05954;10
08212;3
16065;122
09374;8
03457;117
12069;232
12060;182
05166;40
13076;347
03352;536
05558;128
15085;157
09561;3
07233;119
07340;51
12063;175
03241;276
08126;24
03252;76
14628;56
06533;42
09572;14
09672;46
05116;23
05366;124
05562;82
07235;110
03405;48
15082;269
07337;20
05570;187
07334;31
07315;8
06431;15
03361;99
09476;17
09475;118
09371;28
06631;24
03459;226
09376;12
12070;624
03456;94
14730;112
13071;340
05358;224
16073;6
03460;78
08136;82
16077;65
07336;66
15090;433
04012;21
16074;72
05762;466
08135;58
08119;9
16076;38
10046;88
13074;180
12061;317
07131;10
10044;17
14625;95
09377;17
05170;64
09577;55
03401;8
08325;26
09178;6
05114;16
05978;48
08327;17
09571;84
14521;86
09477;40
12066;191
03462;187
09777;36
01003;17
15088;187
09274;11
12071;88
15087;260
03153;22
01056;20
05112;1
05962;34
09472;47
05915;34
03404;6
06439;27
03351;100
16067;103
01001;26
10041;8
09674;19
14729;75
05754;48
15086;159
15091;193
09277;8
09565;1
03154;102
09279;4
03255;45
14524;71
03257;42
16056;36
08125;34
03156;3
14627;87
09778;14
03458;128
02000;68
05374;19
07137;33
05711;7
08237;16
08335;4
16062;33
05958;96
05158;5
07335;41
05512;12
05513;2
06440;29
16075;36
12052;32
16071;70
14523;24
05913;10
08117;57
08425;32
01062;37
03159;64
06634;52
09771;13
08316;23
08315;18
10042;74
15001;14
07332;12
09372;9
03102;74
11000;10
08421;17
14626;131
09573;22
09276;4
05758;26
16064;136
05124;8
09190;3
08116;7
14612;4
14713;18
08215;3
08225;55
05914;24
09678;53
09576;9
09773;12
09273;7
05382;5
09676;7
08235;32
09189;7
09187;2
13003;19
09473;14
08311;8
03158;105
09272;9
16070;9
09162;3
03354;71
15003;6
15002;29
07338;19
05315;7
09471;35
08415;15
06531;19
09673;27
03403;8
08426;9
09261;1
12054;45
09474;2
08436;13
10045;19
05120;2
05122;2
08337;5
09564;2
09175;5
09478;6
09275;8
09362;1
09181;11
07111;3
16052;6
07132;8
09179;4
12053;13
16069;6
09779;7
14511;11
08437;11
16051;37
13004;18
03101;5
09185;8
03103;13
09163;1
08118;7
08236;1
09774;7
07317;2
06611;5
09772;9
16072;1
08226;2
09278;4
09182;1
08231;1
07316;2
09271;2
16066;5
08416;3
09663;1
09671;2
09188;5
07138;1
09184;4
09183;1
09762;1
09173;1
05378;2
01002;1
09171;1
09775;1
08111;1
08222;1
08216;1
05111;1
09563;1
